id;name;longitude;latitude;type;subtype
127;Hospital Español;-58,4072878;-34,7862792;Estacion Ferrocarril;Roca
128;Ingeniero S. Brian;-58,5730377;-34,6580457;Estacion Ferrocarril;Roca
129;Juan XXIII;-58,4441098;-34,7713636;Estacion Ferrocarril;Roca
130;Km. 34;-58,465016;-34,7434594;Estacion Ferrocarril;Roca
131;P. Turner;-58,4748755;-34,7332318;Estacion Ferrocarril;Roca
132;San Justo;-58,555356;-34,6741934;Estacion Ferrocarril;Roca
133;Santa Catalina;-58,4373374;-34,7804203;Estacion Ferrocarril;Roca
134;Tablada;-58,5280209;-34,6930707;Estacion Ferrocarril;Roca
135;Aldo Bonzi;-58,5141386;-34,7106549;Estacion Ferrocarril;Belgrano Sur
136;Dr. Sáenz;-58,4199555;-34,6481153;Estacion Ferrocarril;Belgrano Sur
137;Isidro Casanova;-58,5879899;-34,7044639;Estacion Ferrocarril;Belgrano Sur
138;José Ingenieros;-58,537256;-34,710762;Estacion Ferrocarril;Belgrano Sur
139;Justo Villegas;-58,5519393;-34,708965;Estacion Ferrocarril;Belgrano Sur
140;Libertad;-58,6861877;-34,6921774;Estacion Ferrocarril;Belgrano Sur
141;Marinos C. G. Belgrano;-58,7307061;-34,7086815;Estacion Ferrocarril;Belgrano Sur
142;Marinos del Fournier;-58,5076299;-34,6901777;Estacion Ferrocarril;Belgrano Sur
143;Merlo Gómez;-58,6462658;-34,6971714;Estacion Ferrocarril;Belgrano Sur
144;Presidente Illia;-58,4502223;-34,6661376;Estacion Ferrocarril;Belgrano Sur
145;Rafael Castillo;-58,6261936;-34,6996965;Estacion Ferrocarril;Belgrano Sur
146;Sánchez de Mendeville;-58,5238732;-34,7124465;Estacion Ferrocarril;Belgrano Sur
147;Tapiales;-58,5115373;-34,7025293;Estacion Ferrocarril;Belgrano Sur
148;Villa Lugano;-58,4769699;-34,67713;Estacion Ferrocarril;Belgrano Sur
149;Villa Madero;-58,4925366;-34,6840978;Estacion Ferrocarril;Belgrano Sur
150;Villa Soldati;-58,4408973;-34,6622014;Estacion Ferrocarril;Belgrano Sur
151;Alejandro Petión;-58,6743571;-34,9775385;Estacion Ferrocarril;Roca
152;Apeadero Kloosterman;-58,6895825;-34,9863555;Estacion Ferrocarril;Roca
153;Cañuelas;-58,7541775;-35,0592254;Estacion Ferrocarril;Roca
154;Carlos Spegazzini;-58,5942645;-34,9099069;Estacion Ferrocarril;Roca
155;Máximo Paz;-58,6205451;-34,9362878;Estacion Ferrocarril;Roca
156;Ricardo Levene;-58,7237738;-35,0216179;Estacion Ferrocarril;Roca
157;Tristán Suárez;-58,5677383;-34,8892028;Estacion Ferrocarril;Roca
158;Unión Ferroviaria;-58,5432637;-34,8701194;Estacion Ferrocarril;Roca
159;Vicente Casares;-58,647847;-34,9621814;Estacion Ferrocarril;Roca
160;Altamirano;-58,1512081;-35,3611696;Estacion Ferrocarril;Roca
161;Chascomus;-57,9823866;-35,5790842;Estacion Ferrocarril;Roca
162;Cnel. Brandsen;-58,2320146;-35,1677373;Estacion Ferrocarril;Roca
163;Doomselar;-58,2906247;-35,0701752;Estacion Ferrocarril;Roca
164;Gándara;-58,0937313;-35,4497875;Estacion Ferrocarril;Roca
165;Jeppener;-58,1982603;-35,2776676;Estacion Ferrocarril;Roca
166;Apeadero Km. 12;-58,5059269;-34,7100582;Estacion Ferrocarril;Belgrano Sur
